Customer ID,Product ID,Product Name,Review
CUST00769,PROD001,Apple iPhone 15 Pro Max,"I enjoy using the Apple iPhone 15 Pro Max because of its camera quality, though its limited ports bothers me sometimes."
CUST01386,PROD001,Apple iPhone 15 Pro Max,"I really love the speed of my Apple iPhone 15 Pro Max, but I'm a bit disappointed with its size."
CUST01259,PROD001,Apple iPhone 15 Pro Max,"My experience with the Apple iPhone 15 Pro Max has been mostly great due to its storage capacity, but the short cable needs improvement."
CUST00880,PROD001,Apple iPhone 15 Pro Max,"While the durability of the Apple iPhone 15 Pro Max impressed me, the price was underwhelming."
CUST01667,PROD001,Apple iPhone 15 Pro Max,"The design on the Apple iPhone 15 Pro Max is outstanding, although the short cable could be better."
CUST01765,PROD001,Apple iPhone 15 Pro Max,"While the build quality of the Apple iPhone 15 Pro Max impressed me, the weight was underwhelming."
CUST00472,PROD001,Apple iPhone 15 Pro Max,"My experience with the Apple iPhone 15 Pro Max has been mostly great due to its storage capacity, but the short cable needs improvement."
CUST01277,PROD001,Apple iPhone 15 Pro Max,"While the speed of the Apple iPhone 15 Pro Max impressed me, the limited ports was underwhelming."
CUST00127,PROD001,Apple iPhone 15 Pro Max,"While the storage capacity of the Apple iPhone 15 Pro Max impressed me, the fragile screen was underwhelming."
CUST01868,PROD001,Apple iPhone 15 Pro Max,"While the performance of the Apple iPhone 15 Pro Max impressed me, the weight was underwhelming."
CUST00361,PROD001,Apple iPhone 15 Pro Max,"The sound clarity on the Apple iPhone 15 Pro Max is outstanding, although the software bugs could be better."
CUST00179,PROD001,Apple iPhone 15 Pro Max,"I really love the performance of my Apple iPhone 15 Pro Max, but I'm a bit disappointed with its price."
CUST00907,PROD001,Apple iPhone 15 Pro Max,"I really love the storage capacity of my Apple iPhone 15 Pro Max, but I'm a bit disappointed with its software bugs."
CUST01809,PROD001,Apple iPhone 15 Pro Max,"While the display of the Apple iPhone 15 Pro Max impressed me, the fragile screen was underwhelming."
CUST01195,PROD001,Apple iPhone 15 Pro Max,"I enjoy using the Apple iPhone 15 Pro Max because of its performance, though its price bothers me sometimes."
CUST01950,PROD001,Apple iPhone 15 Pro Max,"I really love the design of my Apple iPhone 15 Pro Max, but I'm a bit disappointed with its overheating."
CUST01535,PROD001,Apple iPhone 15 Pro Max,"The display on the Apple iPhone 15 Pro Max is outstanding, although the slow updates could be better."
